Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
183,Universit Paris Cit,France,59.6,44.7,37.8,90.7,67.0,73.8
184,Eindhoven University of Technology,Netherlands,59.5,46.2,51.0,68.0,100.0,88.4
185,Sapienza University of Rome,Italy,59.5,53.4,50.8,73.7,93.0,42.6
186,University of St Andrews,United Kingdom,59.5,47.4,44.0,76.9,65.5,94.8
187,University of Mnster,Germany,59.4,44.0,47.9,83.9,82.2,54.7
188,Indiana University,United States,59.3,46.6,38.3,87.4,85.0,64.0
189,Korea University,South Korea,59.3,49.3,48.6,72.6,99.8,65.7
190,Abu Dhabi University,United Arab Emirates,59.2,45.1,39.2,87.4,25.4,97.9
191,Stockholm University,Sweden,59.2,32.8,49.0,89.3,65.1,79.6
192,University of Leicester,United Kingdom,59.2,34.9,34.9,96.1,69.7,95.5
193,University of Ottawa,Canada,59.2,37.2,44.7,85.1,81.4,87.0
194,Tokyo Institute of Technology,Japan,59.1,61.1,63.9,47.5,100.0,57.6
195,Aalto University,Finland,58.9,41.7,43.1,81.3,88.2,82.7
196,"University of California, Santa Cruz",United States,58.9,35.3,41.7,93.2,71.9,73.9
197,University of Notre Dame,United States,58.9,53.2,45.1,72.4,73.9,72.3
198,Ulm University,Germany,58.7,39.7,40.5,87.9,99.7,65.3
199,Universitat Autnoma de Barcelona (UAB),Spain,58.7,43.9,42.4,84.1,72.4,70.3
200,University of Mannheim,Germany,58.7,36.6,44.8,87.1,94.4,66.6
201,University of So Paulo,Brazil,58.7,58.8,60.7,55.7,93.9,43.0
202,Arizona State University (Tempe),United States,0.0,38.5,45.2,84.4,70.9,71.5
203,Beijing Institute of Technology,China,0.0,45.4,44.0,76.3,98.5,42.4
204,Cardiff University,United Kingdom,0.0,37.6,38.9,88.3,70.2,91.9
205,Chalmers University of Technology,Sweden,0.0,41.7,46.0,74.0,94.6,78.6
206,Deakin University,Australia,0.0,29.8,36.3,91.5,76.8,85.4
207,Friedrich Schiller University Jena,Germany,0.0,42.6,42.3,83.0,78.0,64.2
208,Georgetown University,United States,0.0,50.4,34.7,83.7,92.3,54.3
209,George Washington University,United States,0.0,48.6,35.1,86.3,67.8,68.3
210,Goethe University Frankfurt,Germany,0.0,42.5,43.3,82.5,83.9,68.7
211,Indian Institute of Science,India,0.0,61.4,56.6,53.7,97.3,31.6
212,Khalifa University,United Arab Emirates,0.0,29.6,39.8,87.8,95.4,94.7
213,Linkping University,Sweden,0.0,29.8,41.2,88.4,95.3,73.0
214,Medical University of Graz,Austria,0.0,30.5,34.6,92.0,96.6,82.6
215,Medical University of Vienna,Austria,0.0,39.7,29.7,93.9,97.5,81.0
216,Nagoya University,Japan,0.0,55.0,55.9,54.9,99.7,42.9
217,Nankai University,China,0.0,50.0,32.3,86.4,76.0,49.2
218,"Northeastern University, US",United States,0.0,39.5,32.7,91.9,69.5,82.7
219,Politecnico di Milano,Italy,0.0,43.3,49.6,69.4,96.3,64.4
220,Qatar University,Qatar,0.0,31.0,37.4,87.5,69.0,95.1
221,Queensland University of Technology,Australia,0.0,33.1,40.0,88.7,86.7,80.8
222,Queens University Belfast,United Kingdom,0.0,35.2,37.8,89.8,67.6,98.3
223,SantAnna School of Advanced Studies  Pisa,Italy,0.0,49.9,39.5,80.2,92.3,60.0
224,Sejong University,South Korea,0.0,31.8,34.9,94.3,83.2,68.9
225,Sichuan University,China,0.0,48.2,49.1,72.8,98.8,44.6
226,Sun Yat-sen University,China,0.0,47.1,38.1,83.7,93.7,37.1
227,Tel Aviv University,Israel,0.0,40.4,49.1,79.5,78.7,54.9
228,Tianjin University,China,0.0,46.8,47.7,73.4,99.6,57.3
229,Ulsan National Institute of Science and Technology (UNIST),South Korea,0.0,48.0,39.8,83.2,97.0,41.6
230,Universit Libre de Bruxelles,Belgium,0.0,36.3,45.5,82.9,68.6,88.3
231,Universiti Teknologi Petronas,Malaysia,0.0,36.8,39.1,82.2,80.2,78.0
232,University College Dublin,Ireland,0.0,32.7,41.2,85.9,76.0,89.4
233,University of Aberdeen,United Kingdom,0.0,34.8,36.0,81.9,79.1,97.4
234,University of Calgary,Canada,0.0,34.4,42.8,83.6,88.9,85.7
235,University of Erlangen-Nuremberg,Germany,0.0,42.1,48.4,78.5,100.0,61.8
236,University of Gothenburg,Sweden,0.0,34.6,43.4,90.2,77.3,64.4
237,University of Illinois Chicago,United States,0.0,49.5,34.9,79.8,77.4,60.1
238,University of Luxembourg,Luxembourg,0.0,39.2,39.5,77.1,81.3,92.7
239,University of Miami,United States,0.0,46.5,34.8,83.6,79.9,65.6
240,University of Padua,Italy,0.0,45.6,39.9,82.3,80.7,54.5
241,University of Potsdam,Germany,0.0,37.7,45.2,81.8,91.2,66.3
242,University of Reading,United Kingdom,0.0,38.6,38.5,86.6,66.6,95.3
243,University of Surrey,United Kingdom,0.0,33.8,34.7,89.0,73.3,96.8
244,University of Sussex,United Kingdom,0.0,31.8,36.0,89.6,62.7,95.5
245,University of Utah,United States,0.0,44.0,39.0,89.0,88.5,41.6
246,University of Wollongong,Australia,0.0,34.6,37.4,85.4,91.2,92.0
247,Vita-Salute San Raffaele University,Italy,0.0,34.2,33.5,99.0,67.2,48.0
248,Vrije Universiteit Brussel,Belgium,0.0,37.6,42.7,81.1,90.4,78.3
249,Western University,Canada,0.0,39.5,42.1,76.7,99.5,87.0
250,Xian Jiaotong University,China,0.0,45.6,49.1,74.0,99.9,34.0
251,Aalborg University,Denmark,0.0,31.7,44.7,80.9,87.6,73.5
252,Beihang University,China,0.0,44.1,46.3,71.3,99.9,35.8
253,Boston College,United States,0.0,46.3,32.3,85.3,58.3,60.5
254,Curtin University,Australia,0.0,28.2,34.7,88.9,76.6,94.8
255,East China Normal University,China,0.0,43.9,36.0,78.5,87.2,52.8
256,cole Normale Suprieure de Lyon,France,0.0,56.7,45.4,53.0,86.3,67.1
257,Hanyang University,South Korea,0.0,45.2,41.1,64.8,99.5,68.7
258,Heinrich Heine University Dsseldorf,Germany,0.0,37.1,34.6,85.4,84.2,69.1
259,Hong Kong Baptist University,Hong Kong,0.0,32.3,40.0,80.8,70.4,98.1
260,Humanitas University,Italy,0.0,32.2,28.0,98.4,64.3,65.8
261,Johannes Gutenberg University of Mainz,Germany,0.0,38.7,33.2,81.8,82.9,65.7
262,King Saud University,Saudi Arabia,0.0,35.5,29.9,83.3,84.6,82.9
263,Kyung Hee University,South Korea,0.0,40.2,39.8,71.8,99.9,72.1
264,Lappeenranta-Lahti University of Technology LUT,Finland,0.0,31.7,35.6,87.2,80.7,70.1
265,La Trobe University,Australia,0.0,29.2,36.2,89.3,77.2,88.1
